,start,end,duration
5630,1238974464,1238978560,4096
5613,1238978560,1238979204,644
5621,1238981086,1238982656,1570
5631,1238982656,1238986752,4096
5612,1238986752,1238987166,414
5610,1238990514,1238990848,334
5624,1238990848,1238993507,2659
5618,1238993549,1238994944,1395
5609,1238994944,1238995065,121
5623,1238996638,1238999040,2402
5632,1238999040,1239003136,4096
1626,1239003136,1239007189,4053
1621,1239009856,1239010368,512
1623,1239010425,1239011328,903
1627,1239011328,1239015424,4096
1628,1239015424,1239019520,4096
1629,1239019520,1239023616,4096
1630,1239023616,1239027712,4096
1631,1239027712,1239031808,4096
1632,1239031808,1239035904,4096
1633,1239035904,1239040000,4096
1634,1239040000,1239044096,4096
1620,1239044096,1239044583,487
1622,1239059786,1239060480,694
1635,1239060480,1239064576,4096
1636,1239064576,1239068672,4096
1637,1239068672,1239072768,4096
1638,1239072768,1239076864,4096
1639,1239076864,1239080960,4096
1625,1239080960,1239083006,2046
1624,1239087140,1239089152,2012
1640,1239089152,1239093248,4096
1641,1239093248,1239097344,4096
1642,1239097344,1239101440,4096
5371,1239101440,1239103228,1788
5372,1239103364,1239105536,2172
5367,1239105536,1239106302,766
5374,1239127044,1239130112,3068
5376,1239130112,1239134208,4096
5377,1239134208,1239138304,4096
5373,1239138304,1239140924,2620
5369,1239149500,1239150592,1092
5375,1239150592,1239153689,3097
5368,1239153848,1239154688,840
5378,1239154688,1239158784,4096
5379,1239158784,1239162880,4096
5380,1239162880,1239166976,4096
5381,1239166976,1239171072,4096
5382,1239171072,1239175168,4096
5383,1239175168,1239179264,4096
5384,1239179264,1239183360,4096
5385,1239183360,1239187456,4096
5386,1239187456,1239191552,4096
5387,1239191552,1239195648,4096
5388,1239195648,1239199744,4096
5370,1239199744,1239201390,1646
3096,1239201471,1239203840,2369
3102,1239203840,1239207936,4096
3094,1239207936,1239208793,857
3098,1239213615,1239216128,2513
3103,1239216128,1239220224,4096
3104,1239220224,1239224320,4096
3105,1239224320,1239228416,4096
3100,1239228416,1239232125,3709
3101,1239244940,1239248896,3956
3106,1239248896,1239252992,4096
3093,1239252992,1239253498,506
3095,1239263053,1239265280,2227
3107,1239265280,1239269376,4096
3108,1239269376,1239273472,4096
3109,1239273472,1239277568,4096
3110,1239277568,1239281664,4096
3111,1239281664,1239285760,4096
3099,1239285760,1239288926,3166
3097,1239295624,1239298048,2424
3112,1239298048,1239302144,4096
1185,1239302144,1239306240,4096
1186,1239306240,1239310336,4096
1187,1239310336,1239314432,4096
1188,1239314432,1239318528,4096
1181,1239318528,1239318836,308
1180,1239322378,1239322624,246
1189,1239322624,1239326720,4096
1190,1239326720,1239330816,4096
1191,1239330816,1239334912,4096
1192,1239334912,1239339008,4096
1184,1239339008,1239341782,2774
1183,1239348722,1239351296,2574
1193,1239351296,1239355392,4096
1194,1239355392,1239359488,4096
1195,1239359488,1239363584,4096
1196,1239363584,1239367680,4096
1197,1239367680,1239371776,4096
1198,1239371776,1239375872,4096
1199,1239375872,1239379968,4096
1200,1239379968,1239384064,4096
1201,1239384064,1239388160,4096
1202,1239388160,1239392256,4096
1203,1239392256,1239396352,4096
1182,1239396352,1239398850,2498
5806,1239430170,1239430250,80
5810,1239430804,1239433216,2412
5815,1239433216,1239437312,4096
5816,1239437312,1239441408,4096
5817,1239441408,1239445504,4096
5814,1239445504,1239449340,3836
5807,1239449412,1239449600,188
5818,1239449600,1239453696,4096
5819,1239453696,1239457792,4096
5812,1239457792,1239461138,3346
5811,1239483766,1239486464,2698
5820,1239486464,1239490560,4096
5808,1239490560,1239491090,530
5809,1239497816,1239498752,936
5813,1239498752,1239502455,3703
5654,1239515967,1239519232,3265
5655,1239519232,1239523328,4096
5656,1239523328,1239527424,4096
5657,1239527424,1239531520,4096
5658,1239531520,1239535616,4096
5659,1239535616,1239539712,4096
5660,1239539712,1239543808,4096
5661,1239543808,1239547904,4096
5662,1239547904,1239552000,4096
5663,1239552000,1239556096,4096
5664,1239556096,1239560192,4096
5665,1239560192,1239564288,4096
5651,1239564288,1239566422,2134
5653,1239594591,1239597056,2465
5652,1239597056,1239599277,2221
3278,1239619579,1239621632,2053
3283,1239621632,1239625728,4096
3284,1239625728,1239629824,4096
3285,1239629824,1239633920,4096
3279,1239633920,1239636444,2524
3281,1239672090,1239674880,2790
3286,1239674880,1239678976,4096
3287,1239678976,1239683072,4096
3280,1239683072,1239685815,2743
3277,1239685979,1239687168,1189
3276,1239687168,1239687649,481
3282,1239687766,1239691264,3498
3288,1239691264,1239695360,4096
3289,1239695360,1239699456,4096
3290,1239699456,1239703552,4096
1721,1239703552,1239707648,4096
1722,1239707648,1239711744,4096
1723,1239711744,1239715840,4096
1719,1239715840,1239719507,3667
1720,1239720016,1239724032,4016
1716,1239724032,1239726069,2037
1715,1239726377,1239728128,1751
1724,1239728128,1239732224,4096
1725,1239732224,1239736320,4096
1726,1239736320,1239740416,4096
1718,1239740416,1239743998,3582
1717,1239757903,1239760896,2993
1727,1239760896,1239764992,4096
1728,1239764992,1239769088,4096
1729,1239769088,1239773184,4096
1730,1239773184,1239777280,4096
1731,1239777280,1239781376,4096
1732,1239781376,1239785472,4096
1713,1239785472,1239785659,187
1714,1239788688,1239789568,880
1733,1239789568,1239793664,4096
1734,1239793664,1239797760,4096
1735,1239797760,1239801856,4096
5925,1239801856,1239805952,4096
5926,1239805952,1239810048,4096
5927,1239810048,1239814144,4096
5928,1239814144,1239818240,4096
5929,1239818240,1239822336,4096
5918,1239822336,1239822414,78
5919,1239822694,1239823209,515
5924,1239823328,1239826432,3104
5930,1239826432,1239830528,4096
5931,1239830528,1239834624,4096
5921,1239834624,1239836416,1792
5922,1239840671,1239842816,2145
5932,1239842816,1239846912,4096
5933,1239846912,1239851008,4096
5934,1239851008,1239855104,4096
5935,1239855104,1239859200,4096
5936,1239859200,1239863296,4096
5937,1239863296,1239867392,4096
5938,1239867392,1239871488,4096
5939,1239871488,1239875584,4096
5923,1239875584,1239878684,3100
5917,1239878705,1239878711,6
5920,1239878773,1239879680,907
5940,1239879680,1239883776,4096
5941,1239883776,1239887872,4096
5942,1239887872,1239891968,4096
5943,1239891968,1239896064,4096
5944,1239896064,1239900160,4096
2888,1239900160,1239904256,4096
2889,1239904256,1239908352,4096
2890,1239908352,1239912448,4096
2891,1239912448,1239916544,4096
2885,1239916544,1239918470,1926
2884,1239920069,1239920640,571
2886,1239920640,1239923888,3248
2883,1239940651,1239941120,469
2892,1239941120,1239945216,4096
2893,1239945216,1239949312,4096
2894,1239949312,1239953408,4096
2895,1239953408,1239957504,4096
2896,1239957504,1239961600,4096
2897,1239961600,1239965696,4096
2898,1239965696,1239969792,4096
2899,1239969792,1239973888,4096
2900,1239973888,1239977984,4096
2901,1239977984,1239982080,4096
2902,1239982080,1239986176,4096
2903,1239986176,1239990272,4096
2887,1239990272,1239993538,3266
3705,1240037821,1240039424,1603
3706,1240039424,1240043520,4096
3707,1240043520,1240047616,4096
3708,1240047616,1240051712,4096
3709,1240051712,1240055808,4096
3710,1240055808,1240059904,4096
3711,1240059904,1240064000,4096
3704,1240064000,1240065159,1159
3703,1240065469,1240066047,578
3882,1240104659,1240104960,301
3889,1240104960,1240109056,4096
3886,1240109056,1240111574,2518
3884,1240124192,1240125440,1248
3890,1240125440,1240129536,4096
3891,1240129536,1240133632,4096
3892,1240133632,1240137728,4096
3888,1240137728,1240141509,3781
3887,1240146663,1240150016,3353
3893,1240150016,1240154112,4096
3894,1240154112,1240158208,4096
3885,1240158208,1240160231,2023
3883,1240189772,1240190976,1204
3895,1240190976,1240195072,4096
3896,1240195072,1240199168,4096
3897,1240199168,1240203264,4096
5001,1240203264,1240207360,4096
5002,1240207360,1240211456,4096
4999,1240211456,1240214165,2709
4992,1240219502,1240219648,146
5003,1240219648,1240223744,4096
5004,1240223744,1240227840,4096
5005,1240227840,1240231936,4096
5006,1240231936,1240236032,4096
5007,1240236032,1240240128,4096
5008,1240240128,1240244224,4096
5009,1240244224,1240248320,4096
4993,1240248320,1240249072,752
4997,1240266407,1240268800,2393
5010,1240268800,1240272896,4096
4998,1240272896,1240275368,2472
4995,1240275999,1240276992,993
4994,1240276992,1240277858,866
4996,1240279910,1240281088,1178
5011,1240281088,1240285184,4096
5000,1240285233,1240289280,4047
5012,1240289280,1240293376,4096
5013,1240293376,1240297472,4096
5014,1240297472,1240301568,4096
4709,1240301568,1240305664,4096
4710,1240305664,1240309760,4096
4711,1240309760,1240313856,4096
4712,1240313856,1240317952,4096
4713,1240317952,1240322048,4096
4714,1240322048,1240326144,4096
4715,1240326144,1240330240,4096
4702,1240330240,1240331167,927
4706,1240335696,1240338432,2736
4716,1240338432,1240342528,4096
4699,1240342528,1240342595,67
4701,1240345870,1240346624,754
4717,1240346624,1240350720,4096
4705,1240350720,1240352951,2231
4704,1240360860,1240363008,2148
4718,1240363008,1240367104,4096
4719,1240367104,1240371200,4096
4708,1240371241,1240374780,3539
4700,1240374889,1240375296,407
4720,1240375296,1240379392,4096
4721,1240379392,1240383488,4096
4722,1240383488,1240387584,4096
4723,1240387584,1240391680,4096
4724,1240391680,1240395776,4096
4707,1240395776,1240398780,3004
4703,1240398852,1240399872,1020
4725,1240399872,1240403968,4096
4906,1240403968,1240408064,4096
4907,1240408064,1240412160,4096
4908,1240412160,1240416256,4096
4909,1240416256,1240420352,4096
4910,1240420352,1240424448,4096
4905,1240424448,1240425611,1163
3539,1240546514,1240547328,814
3540,1240547328,1240551424,4096
3541,1240551424,1240555520,4096
3542,1240555520,1240559616,4096
3543,1240559616,1240563712,4096
