,start,end,duration
103,1239064576,1239068672,4096
91,1239068672,1239069071,399
100,1239069668,1239072768,3100
104,1239072768,1239076864,4096
105,1239076864,1239080960,4096
106,1239080960,1239085056,4096
107,1239085056,1239089152,4096
108,1239089152,1239093248,4096
109,1239093248,1239097344,4096
110,1239097344,1239101440,4096
1239,1239101440,1239105536,4096
1235,1239105536,1239106591,1055
1232,1239128903,1239129104,201
1231,1239129199,1239129243,44
1238,1239130257,1239134208,3951
1233,1239134208,1239134819,611
1237,1239134846,1239138304,3458
1240,1239138304,1239142400,4096
1241,1239142400,1239146496,4096
1242,1239146496,1239150592,4096
1243,1239150592,1239154688,4096
1244,1239154688,1239158784,4096
1245,1239158784,1239162880,4096
1246,1239162880,1239166976,4096
1247,1239166976,1239171072,4096
1248,1239171072,1239175168,4096
1249,1239175168,1239179264,4096
1250,1239179264,1239183360,4096
1251,1239183360,1239187456,4096
1236,1239187456,1239189037,1581
1234,1239194922,1239195648,726
1252,1239195648,1239199744,4096
1253,1239199744,1239203840,4096
5456,1239203840,1239207936,4096
5457,1239207936,1239212032,4096
5458,1239212032,1239216128,4096
5459,1239216128,1239220224,4096
5455,1239220224,1239221064,840
3809,1239392735,1239396352,3617
3808,1239396352,1239398756,2404
603,1239412861,1239416832,3971
604,1239416832,1239420928,4096
605,1239420928,1239425024,4096
606,1239425024,1239429120,4096
607,1239429120,1239433216,4096
608,1239433216,1239437312,4096
609,1239437312,1239441408,4096
610,1239441408,1239445504,4096
611,1239445504,1239449600,4096
612,1239449600,1239453696,4096
613,1239453696,1239457792,4096
601,1239457792,1239458462,670
602,1239487919,1239490560,2641
614,1239490560,1239494656,4096
615,1239494656,1239498752,4096
616,1239498752,1239502848,4096
5325,1239502848,1239506944,4096
5326,1239506944,1239511040,4096
5327,1239511040,1239515136,4096
5328,1239515136,1239519232,4096
5329,1239519232,1239523328,4096
5330,1239523328,1239527424,4096
5331,1239527424,1239531520,4096
5332,1239531520,1239535616,4096
5333,1239535616,1239539712,4096
5334,1239539712,1239543808,4096
5335,1239543808,1239547904,4096
5336,1239547904,1239552000,4096
5337,1239552000,1239556096,4096
5338,1239556096,1239560192,4096
5339,1239560192,1239564288,4096
5323,1239564288,1239566417,2129
5322,1239587090,1239588864,1774
5340,1239588864,1239592960,4096
5341,1239592960,1239597056,4096
5324,1239597056,1239599734,2678
2921,1239610810,1239610849,39
2922,1239611420,1239611466,46
2928,1239611885,1239613440,1555
2931,1239613440,1239617536,4096
2932,1239617536,1239621632,4096
2933,1239621632,1239625728,4096
2934,1239625728,1239629824,4096
2935,1239629824,1239633920,4096
2936,1239633920,1239638016,4096
2929,1239638016,1239641381,3365
