,start,end,duration
5089,1238514000,1238516000,2000
5090,1238516000,1238518000,2000
5091,1238518000,1238520000,2000
5092,1238520000,1238522000,2000
5093,1238522000,1238524000,2000
5094,1238524000,1238526000,2000
5095,1238526000,1238528000,2000
5096,1238528000,1238530000,2000
5097,1238530000,1238532000,2000
5098,1238532000,1238534000,2000
5099,1238534000,1238536000,2000
5100,1238536000,1238538000,2000
5101,1238538000,1238540000,2000
5102,1238540000,1238542000,2000
5103,1238542000,1238544000,2000
5104,1238544000,1238546000,2000
5105,1238546000,1238548000,2000
5106,1238548000,1238550000,2000
5107,1238550000,1238552000,2000
5108,1238552000,1238554000,2000
5109,1238554000,1238556000,2000
5110,1238556000,1238558000,2000
5111,1238558000,1238560000,2000
5112,1238560000,1238562000,2000
5113,1238562000,1238564000,2000
5114,1238564000,1238566000,2000
5115,1238566000,1238568000,2000
5116,1238568000,1238570000,2000
5117,1238570000,1238572000,2000
5118,1238572000,1238574000,2000
5119,1238574000,1238576000,2000
5120,1238576000,1238578000,2000
5121,1238578000,1238580000,2000
5122,1238580000,1238582000,2000
5123,1238582000,1238584000,2000
5124,1238584000,1238586000,2000
5125,1238586000,1238588000,2000
5126,1238588000,1238590000,2000
5127,1238590000,1238592000,2000
5128,1238592000,1238594000,2000
5129,1238594000,1238596000,2000
5130,1238596000,1238598000,2000
5131,1238598000,1238600000,2000
15100,1238600000,1238602000,2000
15101,1238602000,1238604000,2000
15102,1238604000,1238606000,2000
15103,1238606000,1238608000,2000
15104,1238608000,1238610000,2000
15105,1238610000,1238612000,2000
15106,1238612000,1238614000,2000
15107,1238614000,1238616000,2000
15108,1238616000,1238618000,2000
15109,1238618000,1238620000,2000
15110,1238620000,1238622000,2000
15111,1238622000,1238624000,2000
15112,1238624000,1238626000,2000
15113,1238626000,1238628000,2000
15114,1238628000,1238630000,2000
15115,1238630000,1238632000,2000
15116,1238632000,1238634000,2000
15117,1238634000,1238636000,2000
15118,1238636000,1238638000,2000
15119,1238638000,1238640000,2000
15120,1238640000,1238642000,2000
15121,1238642000,1238644000,2000
15122,1238644000,1238646000,2000
15123,1238646000,1238648000,2000
15124,1238648000,1238650000,2000
15125,1238650000,1238652000,2000
15126,1238652000,1238654000,2000
