,SNR_H1,Chisq_H1,Mass_1_H1,Mass_2_H1,Spin1z_H1,Spin2z_H1,Prob0_H1,Prob1_H1,Prob2_H1,Prob3_H1,Prob4_H1,Prob5_H1,Prob6_H1,Num triggers_H1,Cluster ID_H1,Cluster time_H1,SNR_L1,Chisq_L1,Mass_1_L1,Mass_2_L1,Spin1z_L1,Spin2z_L1,Prob0_L1,Prob1_L1,Prob2_L1,Prob3_L1,Prob4_L1,Prob5_L1,Prob6_L1,Num triggers_L1,Cluster ID_L1,Cluster time_L1,Av num triggers,Av prob0,id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
10,6.1297173819875095,1.3033165325312903,69.88162377828094,14.18439006449563,-0.3357257543644285,-0.09856998929538548,0.98793113,0.011983278,2.1241079999999997e-39,8.561849e-05,4.7293855e-29,3.4028415999999998e-12,0.0,63.0,8627.0,1258866165.5492086,5.842774960483463,1.1069878317344948,72.36875302883037,13.935812333223321,-0.4181430685788224,-0.05589894923341826,1.0,1.4174413e-09,1e-45,1.1199999999999998e-43,1.1202972e-15,0.0,7.042451499999998e-14,47.0,8815.0,1258866165.5594327,55.0,0.993965565,GW191127_050227-v1,GW191127_050227,1,GWTC-3-confident,1258866165.5,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,53.0,-20.0,47.0,24.0,-14.0,17.0,9.2,-0.6,0.7,3400.0,-1900.0,3100.0,0.18,-0.36,0.34,80.0,-22.0,39.0,29.9,-9.1,11.7,,,,0.57,-0.29,0.4,0.25,,,0.7399600000000001,,,76.0,-21.0,39.0
11,6.715138620523232,0.7529198409442791,64.67449155910506,13.567514046296544,-0.4893492801607514,-0.2300606090284731,0.99999964,5.0192744e-10,4.5e-44,3.2028942000000003e-07,0.0,1.545917e-11,0.0,46.0,33637.0,1264213229.903413,6.170129739213723,1.4845642816981677,63.08857727791314,12.174183499733415,-0.679915420079162,-0.25686729256764995,0.99989796,0.000101930986,1.2023207499999999e-32,4.620136e-28,8.3834246e-14,0.0,1.2350203e-07,55.0,37923.0,1264213229.9015925,50.5,0.9999488,GW200128_022011-v1,GW200128_022011,1,GWTC-3-confident,1264213229.9,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,42.2,-8.1,11.6,32.6,-9.2,9.5,10.6,-0.4,0.3,3400.0,-1800.0,2100.0,0.12,-0.25,0.24,75.0,-12.0,17.0,32.0,-5.5,7.5,,,,0.56,-0.28,0.28,0.0043,,,0.99,,,71.0,-11.0,16.0
12,6.017936532870978,1.4257337184988026,54.879617473504155,14.250676847532082,-0.5241941993143611,-0.3476424749154342,0.8903933,4.842676e-08,2.5369282e-24,8.118714e-12,1.0423966999999996e-32,0.109606735,9.463098e-36,48.0,4900.0,1265202095.9428885,6.364924989352836,1.073644435312359,53.801130545821245,14.312478531269972,-0.5990509254603613,-0.3718313056206531,0.9409865,8.328235999999999e-13,0.0,1.8381e-41,0.0,0.059013467,1.193158e-16,48.0,6176.0,1265202095.9531093,48.0,0.9156899000000001,GW200208_130117-v1,GW200208_130117,1,GWTC-3-confident,1265202095.9,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200208_130117/v1,37.8,-6.2,9.2,27.4,-7.4,6.1,10.8,-0.4,0.3,2230.0,-850.0,1000.0,-0.07,-0.27,0.22,65.4,-6.8,7.8,27.7,-3.1,3.6,,,,0.4,-0.14,0.15,0.00031,,,0.99,,,62.5,-6.4,7.3
13,4.9027643093779245,0.8320095214428531,59.68108025291392,17.251644890334884,-0.14353983191767644,-0.189791181518482,1.0,2.3964454e-35,4.204669399999998e-37,2.9329614999999997e-13,0.0,1.8999433999999998e-20,0.0,43.0,4688.0,1259492747.5403008,6.823104893649519,1.2645864823999144,62.481201871571436,18.674238342760766,0.023974292786670955,-0.10714025022753104,0.99949884,0.0005011449,7.443814599999998e-38,8.5987174e-16,1e-45,3.724333e-20,5.856222e-10,52.0,5475.0,1259492747.5451634,47.5,0.99974942,GW191204_110529-v1,GW191204_110529,1,GWTC-3-confident,1259492747.5,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,27.3,-6.0,11.0,19.3,-6.0,5.6,8.8,-0.6,0.4,1800.0,-1100.0,1700.0,0.05,-0.27,0.26,47.2,-8.0,9.2,19.8,-3.3,3.6,,,,0.34,-0.18,0.25,3.3,,,0.74239,,,45.0,-7.6,8.6
14,5.411980809412704,1.224409601803636,62.420333357590856,10.123537490046314,-0.620952897623226,-0.11749412096396135,0.9987281,6.036884800000001e-06,0.0,2.9238816e-05,5.709846700000001e-31,0.0012364737,4.79016e-40,42.0,4223.0,1252064527.704734,5.7088741150615085,1.1311280983377099,61.15880120892255,9.727033509565363,-0.60553617602309,-0.1345360259666472,1.0,6.939170999999999e-17,1.181645e-39,4.3597343000000003e-32,7.979478000000001e-24,0.0,2.2998213e-13,42.0,4551.0,1252064527.7100475,42.0,0.9993640500000001,GW190909_114149-v1,GW190909_114149,1,GWTC-2,1252064527.7,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190909_114149/v1,45.8,-13.3,52.7,28.3,-12.7,13.4,9.047895,,,3770.0,-2220.0,3270.0,-0.06,-0.36,0.37,75.0,-17.6,55.9,30.9,-7.5,17.2,49.8,-12.4,32.2,0.62,-0.33,0.41,1.1112276612026477,,,0.886704,,,72.0,-16.8,54.9
15,5.699630848648933,1.0063350249937422,68.4224518675719,13.224834593810609,-0.12193196068590972,0.03370213454859453,0.9999801,1.2144584e-05,0.0,7.690916e-06,3.265019e-36,2.8545834e-16,0.0,40.0,47855.0,1247608532.9183302,5.4204341650793975,1.1871810115425394,66.92395863290689,12.850577025646892,-0.15521167637674455,0.03816132014926101,1.0,1.7559154e-11,3.3029e-41,9.511706e-34,7.6988615e-12,6.877936999999999e-36,3.0956378000000003e-14,40.0,39738.0,1247608532.9221652,40.0,0.9999900500000001,GW190719_215514-v1,GW190719_215514,1,GWTC-2,1247608532.9,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190719_215514/v1,36.5,-10.3,18.0,20.8,-7.2,9.0,7.993907515410997,,,3940.0,-2000.0,2590.0,0.32,-0.31,0.29,57.8,-10.7,18.3,23.5,-4.0,6.5,38.7,-6.6,9.2,0.64,-0.29,0.33,1.5592221288282748,,,0.81555,,,54.9,-10.2,17.3
16,5.529691651946632,1.3123631819820052,90.15051085367779,12.124698544046225,0.45854948629895204,0.24040929137484196,0.99995184,3.2157146e-05,3.7679499999999986e-40,1.5751768e-05,0.0,2.9163095000000003e-07,1.4999999999999999e-44,39.0,8669.0,1265235995.9422436,5.300748021462855,1.0096737072647897,93.11421107358454,12.049835553007819,0.4479195748953455,0.2857328267333478,0.9999932,2.2310387e-13,1.7518018e-34,8.47411e-18,9.695292999999999e-17,2.2646927e-26,6.7768533e-06,38.0,10327.0,1265235995.9378815,38.5,0.99997252,GW200208_222617-v1,GW200208_222617,1,GWTC-3-confident,1265235995.9,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200208_222617/v1,51.0,-30.0,104.0,12.3,-5.7,9.0,7.4,-1.2,1.4,4100.0,-1900.0,4400.0,0.45,-0.44,0.43,63.0,-25.0,100.0,19.6,-5.1,10.7,,,,0.66,-0.28,0.54,4.8,,,0.70006,,,61.0,-25.0,100.0
17,5.4491605685858335,0.8210368058661933,61.78855445466012,15.140190409445145,-0.5796241889742468,-0.33746624113774304,1.0,1.7472593999999996e-22,1.873613e-30,7.5838546e-12,0.0,1.3522508e-09,0.0,38.0,4913.0,1248617394.642214,5.756980328112356,0.7913614976288634,62.296281109332675,15.655041189093108,-0.5616297372946125,-0.3400329637430505,1.0,6.879561e-22,0.0,0.0,5.35e-43,5.999568e-14,6.7423404e-19,38.0,5154.0,1248617394.6321099,38.0,1.0,GW190731_140936-v1,GW190731_140936,1,GWTC-2,1248617394.6,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190731_140936/v1,41.5,-9.0,12.2,28.8,-9.5,9.7,8.460146466288636,,,3300.0,-1720.0,2390.0,0.06,-0.24,0.24,70.1,-11.3,15.8,29.5,-5.2,7.1,46.6,-8.2,6.8,0.55,-0.26,0.31,0.20584212311867794,,,0.966501,,,67.0,-10.8,14.6
18,5.248452147435104,1.3593123161157152,46.90515492482439,13.305446872244596,-0.7939042921901308,-0.4614177158550176,0.9569398,0.0036697052,2.4824103e-27,4.7311743e-19,2.8091104e-35,0.03939049,4.4753597e-32,37.0,24367.0,1239168612.4987564,5.684127477645397,0.7826133944741338,47.23256715933889,14.02534986569381,-0.7788007723591086,-0.4698826175868055,1.0,1.394595e-10,0.0,7.599999999999998e-44,0.0,1.3714541999999998e-16,8.920986999999998e-25,37.0,28428.0,1239168612.5033953,37.0,0.9784699,GW190413_052954-v1,GW190413_052954,1,GWTC-2,1239168612.5,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190413_052954/v1,34.7,-8.1,12.6,23.7,-6.7,7.3,8.555396161858269,,,3550.0,-1660.0,2270.0,-0.01,-0.34,0.29,58.6,-9.7,13.3,24.6,-4.1,5.5,39.4,-6.6,7.7,0.59,-0.24,0.29,0.07168326663702794,,,0.9777899999999999,,,56.0,-9.2,12.5
19,4.756437556332684,0.587644295243131,58.836243067207576,13.122590466825946,-0.7359433131912904,-0.2422655657978013,1.0,2.591493e-19,2.3559999999999997e-42,1.3163638999999999e-12,0.0,1.1393577e-11,0.0,36.0,17539.0,1248834439.8764324,6.367409801483295,0.8753538491156959,58.87238022231845,12.924508116563961,-0.7395191705738409,-0.2398492448460364,1.0,8.81709e-17,0.0,1.51447e-38,1.9001457999999998e-28,0.0,9.404892e-15,36.0,19495.0,1248834439.8852134,36.0,1.0,GW190803_022701-v1,GW190803_022701,1,GWTC-2,1248834439.9,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190803_022701/v1,37.3,-7.0,10.6,27.3,-8.2,7.8,8.970600357413533,,,3270.0,-1580.0,1950.0,-0.03,-0.27,0.24,64.5,-9.0,12.6,27.3,-4.1,5.7,42.7,-6.1,6.3,0.55,-0.24,0.26,0.026934317250435557,,,0.99411,,,61.7,-8.5,11.8
20,6.7140268071152365,1.0171575483015518,73.0559135211775,11.405217972836928,-0.5330871772124547,-0.022121517148349118,0.9998809,0.00011825803999999998,0.0,8.167640400000002e-07,2.6118972e-18,5.064988e-15,0.0,29.0,13174.0,1265926102.8794866,5.665071468653805,0.8614873490838361,73.19158388921385,11.472627186742272,-0.5295079972311417,-0.020067076990346027,1.0,1.1025268e-19,0.0,7.1328435e-38,1.9934653e-19,0.0,1.8817428e-15,29.0,11295.0,1265926102.8894875,29.0,0.99994045,GW200216_220804-v1,GW200216_220804,1,GWTC-3-confident,1265926102.8,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,51.0,-13.0,22.0,30.0,-16.0,14.0,8.1,-0.5,0.4,3800.0,-2000.0,3000.0,0.1,-0.36,0.34,81.0,-14.0,20.0,32.9,-8.5,9.3,,,,0.63,-0.29,0.37,0.35,,,0.77277,,,78.0,-13.0,19.0
21,5.654667468000042,0.8180447876484874,68.67302611241179,12.255972313499859,-0.6095613380925758,-0.17098160173371518,0.9999876,6.648060000000001e-06,0.0,3.7598596e-08,1.2353896e-38,5.7093885e-06,0.0,27.0,6366.0,1252699636.8971415,5.51834313896189,0.7242785034292256,70.81175657520492,15.218598324042851,-0.4976741741516558,-0.1357289623278653,1.0,8.290575999999997e-16,0.0,0.0,9.211671e-21,0.0,2.4322266e-19,29.0,7435.0,1252699636.9027493,28.0,0.9999937999999999,GW190916_200658-v1,GW190916_200658,1,GWTC-2.1-confident,1252699636.9,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,43.8,-12.6,19.9,23.3,-10.0,12.5,8.1,-0.5,0.3,4940.0,-2380.0,3710.0,0.2,-0.31,0.33,68.0,-13.1,18.3,26.9,-5.4,8.2,,,,0.77,-0.32,0.45,4.7,,,0.65727,,,65.0,-12.6,17.3
22,4.1632434091687855,0.7591052731016504,76.72004418228158,18.9060182479631,0.6731236641269563,-0.054425145815038094,0.89318943,1.3608142e-22,0.0,0.10681064,0.0,6.926477e-14,0.0,23.0,41744.0,1249074715.3544545,6.211964963397873,1.1020586862523858,77.52708678585948,20.534243588977468,0.7072732609340214,-0.10626565562818813,1.0,1.3779589999999996e-13,0.0,2.0342040999999998e-25,8.481759e-35,5.040816e-32,1.5106691e-21,26.0,43639.0,1249074715.3428063,24.5,0.946594715,GW190805_211137-v1,GW190805_211137,1,GWTC-2.1-confident,1249074715.3,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,46.2,-11.2,15.4,30.6,-11.3,11.8,8.1,-0.7,0.5,6130.0,-3080.0,3720.0,0.37,-0.39,0.29,76.7,-13.8,19.5,31.9,-6.3,8.8,,,,0.92,-0.4,0.43,0.63,,,0.9537200000000001,,,72.4,-13.2,18.2
23,4.097144118444305,0.9677198667999092,139.34617514055768,20.25160571922071,0.64044313367477,-0.07641209282208977,0.99999,1.0745083999999997e-29,3.6000000000000004e-44,1.2512623e-06,0.0,8.836278e-06,0.0,15.0,8595.0,1238303737.2205148,6.433676987375343,0.7806785778534525,156.0964811643886,23.50763503054167,0.7000102899139903,-0.11433819863846925,1.0,7.198560000000003e-22,8e-45,2.3750371999999997e-15,9.645587999999999e-26,2.1219326e-22,1.6814095e-11,18.0,12064.0,1238303737.2360961,16.5,0.999995,GW190403_051519-v1,GW190403_051519,1,GWTC-2.1-confident,1238303737.2,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190403_051519/v1,85.0,-33.0,27.8,20.0,-8.4,26.3,7.6,-1.1,0.6,8280.0,-4290.0,6720.0,0.68,-0.43,0.16,106.6,-23.6,26.7,34.0,-8.4,15.1,,,,1.18,-0.53,0.73,7.7,,,0.60924,,,102.2,-24.3,26.3
24,5.511094681684562,0.8494811255281287,65.78491956527333,10.419983139656845,0.7932422342547865,-0.10524087052498758,0.8288416999999999,2.668968e-12,0.0,0.17115831,0.0,2.4271316e-11,0.0,12.0,46197.0,1268903511.3144991,5.031093751642513,0.9173267068678886,66.06399311467135,10.53555404770078,0.8066410495805096,-0.09437478498996398,0.9998938,1.5250911e-24,7.337000999999998e-26,7.116857e-05,2.6946325999999997e-36,5.972420000000001e-07,3.444462e-05,12.0,49348.0,1268903511.3150456,12.0,0.91436775,GW200322_091133-v1,GW200322_091133,1,GWTC-3-confident,1268903511.3,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200322_091133/v1,34.0,-18.0,48.0,14.0,-8.7,16.8,6.0,-1.2,1.7,3600.0,-2000.0,7000.0,0.24,-0.51,0.45,55.0,-27.0,37.0,15.5,-3.7,15.7,,,,0.6,-0.3,0.84,140.0,,,0.6150100000000001,,,53.0,-26.0,38.0
